id;ref address;query;query lon;query lat;result 1;result 2;result 3;result 4;result 5;
0;9, rue du commandant rivière, paris;rivière;2.308;48.873;12 rue du commandant rivière, paris;9 rue du commandant rivière, paris;10 rue du commandant rivière, paris;8 rue du commandant rivière, paris;7 rue du commandant rivière, paris;
1;161 rue de bourgogne, orléans;bourgogne;1.912;47.9;155 rue de bourgogne, orleans;153 rue de bourgogne, orleans;151 rue de bourgogne, orleans;159 rue de bourgogne, orleans;149 rue de bourgogne, orleans;
2;17 rue pierre bouvier, fontaines-sur-saône;bouvier;4.849;45.834;25 rue pierre bouvier, fontaines-sur-saône;20 rue pierre bouvier, fontaines-sur-saône;18 rue pierre bouvier, fontaines-sur-saône;22 rue pierre bouvier, fontaines-sur-saône;23 rue pierre bouvier, fontaines-sur-saône;
3;442 rue de lille, roncq;lille;3.122;50.767;424 rue de lille, halluin;436 rue de lille, halluin;434 rue de lille, halluin;432 rue de lille, halluin;430 rue de lille, halluin;
4;7, route du pontel, jouars-pontchartrain;pontel;1.9;48.803;4 route du pontel, pontchartrain;2 route du pontel, pontchartrain;6 route du pontel, pontchartrain;8 route du pontel, pontchartrain;13 route du pontel, pontchartrain;
5;9 rue henri drussy, blois;drussy;1.336;47.587;12 rue henri drussy, blois;11 rue henri drussy, blois;10 rue henri drussy, blois;9 rue henri drussy, blois;7 rue henri drussy, blois;
6;75 av. des champs-élysées, paris;champs-élysées;2.303;48.871;75 avenue des champs-élysées, paris;77 avenue des champs-élysées, paris;79 avenue des champs-élysées, paris;73 avenue des champs-élysées, paris;90 avenue des champs-élysées, paris;
7;boulevard des pyrénées, oloron-sainte-marie;pyrénées;-0.62;43.191;9 boulevard des pyrénées, oloron-sainte-marie;11 boulevard des pyrénées, oloron-sainte-marie;10 boulevard des pyrénées, oloron-sainte-marie;8 boulevard des pyrénées, oloron-sainte-marie;7 boulevard des pyrénées, oloron-sainte-marie;
8;1 avenue de l'industrie, rebais;l'industrie;3.239;48.851;1 avenue de l'industrie, rebais;3 avenue de l'industrie, rebais;2 avenue de l'industrie, rebais;4 avenue de l'industrie, rebais;6 avenue de l'industrie, rebais;
9;51, rue du général de gaulle, kirchheim;gaulle;7.494;48.608;61 rue du général de gaulle, marlenheim;59 rue du général de gaulle, marlenheim;57 rue du général de gaulle, marlenheim;60 rue du général de gaulle, marlenheim;55 rue du général de gaulle, marlenheim;
10;25 avenue de villeneuve saint-georges, choisy-le-roi;saint-georges;2.416;48.765;;;;;;
11;17 rue barbès, ivry-sur-seine;barbès;2.373;48.817;17 rue barbès, ivry-sur-seine;19 rue barbès, ivry-sur-seine;15 rue barbès, ivry-sur-seine;21 rue barbès, ivry-sur-seine;18 rue barbès, ivry-sur-seine;
12;6 allée megevie, gradignan;megevie;-0.641;44.774;2 allée megevie, gradignan;4 allée megevie, gradignan;6 allée megevie, gradignan;1 allée megevie, gradignan;10 allée megevie, gradignan;
13;29, route de banyuls, portvendres;banyuls;3.109;42.513;5002 route de banyuls, undefined;29 route de banyuls, undefined;5001 route de banyuls, undefined;0 route de banyuls, undefined;30 route de banyuls, port-vendres;
14;3, rue raymond grimaud, blagnac;grimaud;1.375;43.639;11 rue raymond grimaud, blagnac;8 rue raymond grimaud, blagnac;54 rue raymond grimaud, blagnac;4 rue raymond grimaud, blagnac;10 rue raymond grimaud, blagnac;
15;11, rue de la devise, bordeaux;devise;-0.571;44.84;11 rue de la devise, bordeaux;9 rue de la devise, bordeaux;10 rue de la devise, bordeaux;12 rue de la devise, bordeaux;13 rue de la devise, bordeaux;
16;48 rue monsieur le prince, paris;prince;2.34;48.848;60 rue monsieur le prince, paris;58 rue monsieur le prince, paris;62 rue monsieur le prince, paris;56 rue monsieur le prince, paris;62b rue monsieur le prince, paris;
17;66 rue de bonnel, lyon;bonnel;4.85;45.762;67 rue de bonnel, lyon;66 rue de bonnel, lyon;68 rue de bonnel, lyon;64 rue de bonnel, lyon;62 rue de bonnel, lyon;
18;62, rue pergolèse, paris;pergolèse;2.281;48.873;61b rue pergolèse, paris;61 rue pergolèse, paris;63 rue pergolèse, paris;64b rue pergolèse, paris;64 rue pergolèse, paris;
19;18, rue du faubourg-de-saverne, strasbourg;faubourg-de-saverne;7.74;48.586;;;;;;
