address;city;postal_code;gps_long;gps_lat
1 rue alexandre parodi;paris;;2.366414;48.8790912
1 rue ampère;paris;;2.3069917;48.8851476
1 rue bailleul;paris;;2.342327;48.8609056
1 rue de chéroy;paris;;2.31873;48.88203679999999
1 rue du faubourg saint-antoine;paris;;2.3828407;48.8500648
1 rue meynadier, ;paris-19e-arrondissement;;2.3825185;48.8830105
10 boulevard saint-marcel;paris;;2.3608475;48.8398449
10 place de la concorde;paris;;2.32142;48.865844
10 rue lucien sampaix;paris;;2.3601886;48.8712052
10 rue mandar;paris;;2.3458021;48.8657439
10-12 rue du pot de fer;paris;;2.3489618;48.84302779999999
10-12 rue du pot de fer;paris;;2.3489618;48.84302779999999
101 rue du château;paris;;2.319177;48.836245
102bis avenue du général michel bizot;paris;;2.404192;48.8382127
103 rue la boétie;paris;;2.3070067;48.8711801
103 rue legendre;paris;;2.3217331;48.8886947
104 rue de l'ouest;paris;;2.3156906;48.8342536
106 boulevard de belleville;paris;;2.378931;48.87073969999999
107 rue de charonne;paris;;2.3847162;48.8546353
11 rue bertin poirée;paris;;2.3446535;48.8588298
11 rue de l'étoile;paris;;2.2955971;48.8770527
11 rue de moscou;paris;;2.3253488;48.88037250000001
11 rue delambre;paris;;2.3283589;48.8416662
11 rue jean-jacques rousseau;paris;;2.3402056;48.862403
114 rue du faubourg saint-honoré;paris;;2.3144948;48.8718443
115 avenue de villiers;paris;;2.295397;48.8850243
115 rue saint lazare;paris;;2.3258352;48.8752362
119 rue pelleport;paris;;2.3983714;48.87167849999999
12 rue de la fidélité;paris;;2.35665;48.8748014
12 rue des batignolles;paris;;2.3228216;48.8839066
12 rue du bourg tibourg;paris;;2.3560384;48.8570462
12 rue du marché saint honoré;paris;;2.3314434;48.8662918
129 rue st dominique;paris;;2.3025349;48.8584043
13 boulevard saint-martin;paris;;2.3606658;48.86803099999999
13 rue de la pierre levée;paris;;2.3702413;48.8674291
13 rue du vert bois;paris;;2.3584364;48.8668995
13 rue louis bonnet;paris;;2.3765021;48.8709327
13 rue lucien sampaix;paris;;2.3604545;48.8719303
135 boulevard brune;paris;;2.3183516;48.8250292
138 rue montmartre;paris;;2.3437706;48.8686307
14 rue cadet;paris;;2.3430736;48.8746857
14 rue mercoeur;paris;;2.3844288;48.85747139999999
142 rue d'avron;paris;;2.4096265;48.8531943
148 avenue de saint-ouen;paris;;2.328994;48.8969797
15 boulevard du temple;paris;;2.3658365;48.8640676
15 rue chaptal;paris;;2.333308;48.88075
15 rue d'héliopolis;paris;;2.2935435;48.885213
15 rue damremont;paris;;2.3328253;48.8883038
15 rue daunou;paris;;2.3311128;48.8696807
15 rue de wattignies;paris;;2.393377;48.8367008
15 rue henri ribière;paris;;2.3952036;48.8770976
150 avenue jean jaures;paris;;2.3873454;48.8870186
152 rue de charenton;paris;;2.3813687;48.8451154
153 rue saint-maur;paris;;2.3748029;48.86828550000001
159 quai de valmy;paris;;2.3658793;48.8783751
16 rue du faubourg saint-denis;paris;;2.3532677;48.8705819
16 rue du simplon;paris;;2.3509134;48.8936985
16 rue elzevir;paris;;2.3622761;48.8588236
16 rue mabillon;paris;;2.3351036;48.8517599
16 rue monsieur le prince;paris;;2.3396848;48.8502574
16-19 rue gaillon;paris;;2.3344382;48.8686426
168 rue d'alesia;paris;;2.3146016;48.8318352
17 boulevard victor 75015 paris, france;paris;;2.2831594;48.8349588
17 rue du faubourg montmartre;paris;;2.342999100000001;48.87266
175 rue de grenelle;paris;;2.3047954;48.8572007
176 rue de la pompe;paris;;2.2836595;48.8711716
18 avenue rené coty;paris;;2.3337949;48.8299446
18 passage de la bonne graine;paris;;2.3773741;48.8522703
18 rue des coutures saint-gervais;paris;;2.3622088;48.8603339
18 rue du dragon;paris;;2.3308477;48.8534297
18 rue duphot;paris;;2.3255869;48.8685268
19 avenue de la motte-picquet;paris;;2.3080767;48.8556963
2 rue boulard;paris;;2.3295913;48.8349272
2 rue mademoiselle;paris;;2.2939976;48.8434841
2 rue scribe;paris;;2.3303651;48.8708391
2-4 rue de passy;paris;;2.2841654;48.8585321
20 rue baron le roy;paris;;2.387662;48.8348078
20 rue boussingault;paris;;2.3451162;48.8237368
20 rue de la fontaine au roi;paris;;2.3707265;48.8682285
20 rue du sentier etage 2;paris;;2.3462102;48.8694467
20 rue du sentier;paris;;2.3462102;48.8694467
20 rue du sentier;paris;;2.3462102;48.8694467
21 avenue franklin roosevelt;paris;;2.3099058;48.8666028
21 rue de douai;paris;;2.3343893;48.8817946
21 rue saint-sabin;paris;;2.3711924;48.8558606
21 rue viala;paris;;2.2900268;48.8500413
218 rue du faubourg saint-antoine;paris;;2.3870849;48.8495649
22 rue daubenton;paris;;2.3536334;48.8413705
22 rue dauphine;paris;;2.3394198;48.8551813
22 rue de mazagran;paris;;2.35221;48.8709889
22 rue des bourdonnais;paris;;2.3445194;48.8592891
22 rue jean rey;paris;;2.2927475;48.8554934
223 rue saint-martin;paris;;2.3529368;48.8643824
228 rue de rivoli;paris;;2.3281223;48.8653193
23 rue desaix;paris;;2.2937779;48.8533024
24 place dauphine;paris;;2.3421308;48.8568564
24 rue bosquet;paris;;2.305678;48.8559834
24 rue des tournelles;paris;;2.3676576;48.85502530000001
24 rue surcouf paris, france;paris;;2.309395;48.860407
24 rue surcouf;paris;;2.309395;48.860407
240 rue de rivoli;paris;;2.3257998;48.865942
243 rue du faubourg saint-antoine;paris;;2.3852611;48.8501404
246 rue de vaugirard-15e-arrondissement;paris;;2.3026721;48.840092
25 place de la bourse;paris;;2.3414161;48.8686817
25 rue de charonne;paris;;2.3751638;48.8533767
25 rue de dunkerque;paris;;2.3542966;48.8797964
25 rue du pont aux choux;paris;;2.364847;48.8612368
251 rue saint-honoré;paris;;2.3270257;48.86699249999999
27 avenue carnot;paris;;2.291947;48.876746
27 rue de douai;paris;;2.3329662;48.8823772
275 boulevard pereire;paris;;2.2849089;48.8776976
276 boulevard voltaire;paris;;2.3932214;48.8497005
28 avenue corentin cariou;paris;;2.3852745;48.8969854
28 rue françois truffaut;paris;;2.3863824;48.8331947
286 rue de vaugirard-15e-arrondissement;paris;;2.2987464;48.8385932
29 rue surcouf;paris;;2.3097285;48.8602571
29 rue vivienne;paris;;2.3401122;48.8692753
3 boulevard pershing;paris;;2.2851936;48.8814338
3 cité de phalsbourg;paris;;2.3847548;48.8556178
3 rue arsène houssaye;paris;;2.2976774;48.8736004
3 rue d'arras;paris;;2.3518414;48.8474227
3 rue de boulainvilliers-16e-arrondissement;paris;;2.2777274;48.851589
3 rue rougemont;paris;;2.3457125;48.8714522
30 boulevard hausmann;paris;;2.3348187;48.87287389999999
30 rue broca;paris;;2.3480852;48.8382395
30 rue du printemps;paris;;2.3103017;48.8876599
31 rue du faubourg montmartre;paris;;2.3426288;48.87363380000001
31 rue la bruyère;paris;;2.3338608;48.8794211
32 boulevard de vaugirard;paris;;2.3176432;48.8415313
32 rue de picardie;paris;;2.363622;48.864375
32 rue du faubourg montmartre;paris;;2.3427297;48.8739195
33 rue lamartine;paris;;2.3406207;48.8765042
33 rue mademoiselle;paris;;2.2966001;48.8437566
333 rue des pyrénées;paris;;2.3927817;48.8710689
34 rue de richelieu;paris;;2.3369467;48.8655806
35 rue de trévise;paris;;2.3453509;48.8748859
35 rue du banquier;paris;;2.3543205;48.834574
35 rue gay-lussac;paris;;2.3424852;48.8438886
35 rue lepic;paris;;2.3338944;48.8862649
36 boulevard diderot;paris;;2.3769696;48.8460423
36 boulevard garibaldi;paris;;2.305076;48.8466158
36 rue paul barruel;paris;;2.3055008;48.837957
37 avenue hoche;paris;;2.3004069;48.8758263
37 rue brunel;paris;;2.287348;48.8792243
37 rue du couédic;paris;;2.3312068;48.8300809
38 rue laugier;paris;;2.294504;48.8823154
39 rue boissy d'anglas;paris;;2.322374;48.8699602
39 rue des jeuneurs;paris;;2.3434488;48.8696974
4 bis rue de chateaudun;paris;;2.3422455;48.8758296
4 port de invalides;paris;;2.3141537;48.8631706
4 rue biscornet;paris;;2.370114;48.8496201
4 rue de navarin;paris;;2.3395628;48.8795864
4 rue de saint-quentin;paris;;2.3555017;48.8773382
4 rue des petits-champs;paris;;2.3394854;48.8663533
4 rue thibaud;paris;;2.3277098;48.8298022
4-6-8 cour du commerce saint-andré;paris;;2.3391708;48.8528982
40 avenue pierre 1er de serbie;paris;;2.3005899;48.8679465
40 boulevard de bercy;paris;;2.3811182;48.8400183
40 rue lemercier;paris;;2.3229834;48.8871134
40 rue notre dame des victoires;paris;;2.3422556;48.8688848
40 rue taine;paris;;2.3943009;48.8390606
41 avenue gabriel;paris;;2.3131149;48.8692018
41 rue de lappe;paris;;2.3736349;48.8533522
41 rue de ponthieu;paris;;2.3069267;48.8714879
41 rue des bourdonnais;paris;;2.3454986;48.8606006
41 rue pierre fontaine;paris;;2.3327735;48.8831159
42 rue de rochechouart;paris;;2.3459086;48.879348
42 rue des dames;paris;;2.3229621;48.88426459999999
43 boulevard poniatowski;paris;;2.4003191;48.8329828
43 rue mazarine;paris;;2.338363;48.8540702
44 rue raymond losserand;paris;;2.3198137;48.8349002
46 boulevard du temple;paris;;2.3658423;48.865919
47 rue berger;paris;;2.3424365;48.862049
48 rue de berri;paris;;2.3083318;48.8746249
48 rue de la jonquiere;paris;;2.323046;48.8936226
49 boulevard de clichy;paris;;2.3338766;48.8831724
5 rue des filles du calvaire;paris;;2.365109;48.8623936
5 rue des saussaies;paris;;2.3171344;48.8712534
5-7 rue de l'ave maria;paris;;2.3603692;48.8526988
