"@timestamp","json_message.ctxt_params.query.text","json_message.ctxt_params.sort.coordinates.latitude","json_message.ctxt_params.sort.coordinates.longitude","json_message.ctxt_params.sort.city_id"
"July 31st 2018, 15:16:46.821","Rue mont","48.8650754","2.3469448",
"July 31st 2018, 15:16:45.819",Hi,"48.8704833984375","2.332212686538696",
"July 31st 2018, 15:16:45.819",Hippo,"48.8704833984375","2.332212686538696",
"July 31st 2018, 15:16:45.819","l'a",,,415144
"July 31st 2018, 15:16:45.819",Hipp,"48.8704833984375","2.332212686538696",
"July 31st 2018, 15:16:45.819","l'apollo",,,415144
"July 31st 2018, 15:16:45.819",Hip,"48.8704833984375","2.332212686538696",
"July 31st 2018, 15:16:44.817","Rue mon","48.8650754","2.3469448",
"July 31st 2018, 15:16:41.816","campanile l",,,326512
"July 31st 2018, 15:16:40.815","campanile lyon",,,326512
"July 31st 2018, 15:16:39.813",el,,,
"July 31st 2018, 15:16:39.813",campa,,,326512
"July 31st 2018, 15:16:39.813","le bistrot d'yves",,,415144
"July 31st 2018, 15:16:39.812",Lan,,,
"July 31st 2018, 15:16:39.812","les vaux de cerna",,,
"July 31st 2018, 15:16:39.812",,,,
"July 31st 2018, 15:16:39.812",Lancast,,,
"July 31st 2018, 15:16:39.812",Lanc,,,
"July 31st 2018, 15:16:38.811","Le bistrot des vignes ","43.6053936","-1.0034317",
"July 31st 2018, 15:16:38.811","le bistrot d'",,,415144
"July 31st 2018, 15:16:37.803","le bistrot d",,,415144
"July 31st 2018, 15:16:37.803","Le bistrot des vign","43.6053936","-1.0034317",
"July 31st 2018, 15:16:37.803","Le bistrot des vignes","43.6053936","-1.0034317",
"July 31st 2018, 15:16:36.803",Lancas,,,
"July 31st 2018, 15:16:36.803","les vaux de cer",,,
"July 31st 2018, 15:16:36.803",Lancaster,,,
"July 31st 2018, 15:16:36.803",Lanca,,,
"July 31st 2018, 15:16:36.802","Le bistrot des vi","43.6053936","-1.0034317",
"July 31st 2018, 15:16:35.801","BRASSERIE MOLITO",,,556178
"July 31st 2018, 15:16:35.801","Le bistrot des v","43.6053936","-1.0034317",
"July 31st 2018, 15:16:35.801",Moncoe,"48.84131622314453","2.375396490097046",
"July 31st 2018, 15:16:35.801",MOLITOR,,,556178
"July 31st 2018, 15:16:35.801",Monc,"48.84131622314453","2.375396490097046",
"July 31st 2018, 15:16:35.801",La,,,
"July 31st 2018, 15:16:35.800",Moncoeu,"48.84131622314453","2.375396490097046",
"July 31st 2018, 15:16:35.800",dat,,,415144
